1,Project A,Task 1,2025-09-18 10:50,2025-09-18 15:50,5.0,false
2,Project B,Task 2,2025-09-18 10:33,2025-09-18 14:17,3.73,true
3,Project C,Task 3,2025-09-18 08:50,2025-09-18 12:50,4.0,true
4,Project D,Task 4,2025-09-18 10:41,2025-09-18 13:57,3.27,true
5,Project E,Task 5,2025-09-18 09:46,2025-09-18 13:28,3.7,false
6,Project F,Task 6,2025-09-18 09:30,2025-09-18 13:51,4.35,false
7,Project G,Task 7,2025-09-18 08:38,2025-09-18 13:36,4.97,true
8,Project H,Task 8,2025-09-18 10:32,2025-09-18 15:08,4.6,false
9,Project I,Task 9,2025-09-18 08:37,2025-09-18 11:54,3.28,true
10,Project J,Task 10,2025-09-18 10:43,2025-09-18 15:22,4.65,true
