1,project,task1,2025-09-09 10:20,2025-09-09 13:30,10.0,true
2,project,task2,2025-09-09 10:20,2025-09-09 13:30,10.0,false
3,project,task3,2025-09-09 10:20,2025-09-09 18:50,10.0,true
4,project,task4,,2025-09-09 17:00,10.0,true
5,project,task5,2025-09-09 09:00,,10.0,true
6,project,task6,,,10.0,true
7,project,task7,2025-09-09 17:00,2025-09-09 09:00,10.0,true
8,project,task8,2025-09-09 09:00,2025-09-09 17:00,10.0,false
9,project,task9,2025-09-09 09:00,2025-09-09 13:00,10.0,true
10,project,task10,2025-09-09 09:00,2025-09-09 13:00,10.0,false
